protein_id,design_idx,spearman,pearson
5UHZ_A,2,0.33840623292035693,0.686692185968731
5UHZ_A,3,0.4803965155506277,0.8416858550437958
5UHZ_A,4,0.699044982119567,0.8734575724131218
5UHZ_A,5,0.5109960434022118,0.751352480521749
5UHZ_A,6,0.45790198598251297,0.7948486234869562
5UHZ_A,7,0.6327718540366838,0.8700047208979326
5UUC_A,0,0.7040294609546263,0.5011759643162854
5UUC_A,1,0.521109337755807,0.17400907480501804
5UUC_A,2,0.39123392644085075,0.3324922800139956
5UUC_A,3,0.5693202349484677,0.22153789074557353
5UUC_A,4,0.566660445620245,0.381237270315815
5UUC_A,5,0.6622451918172385,0.638881065351496
5UUC_A,6,0.56596489714065,0.02704667508320606
5UUC_A,7,0.34092681367606076,0.187389388860876
5VE2_B,0,0.4229460238277181,0.24733810182696825
5VE2_B,1,0.19896405615229515,0.2620471615778025
5VE2_B,2,0.14416941635766847,0.09286185106963282
5VE2_B,3,0.6177353565367399,0.39025713373868537
5VE2_B,4,0.17010025358284994,0.04409725172753931
5VE2_B,5,0.44041956736991245,0.7748748877797945
5VE2_B,6,0.3363030178881089,0.5855976452466386
5VE2_B,7,0.31249956140490726,0.7235047348371292
6DNB_A,0,0.41272355298826124,0.19682266799381612
6DNB_A,1,0.3406795390856028,0.20223894777695214
6DNB_A,2,0.4537059289860322,0.34521813602675894
6DNB_A,3,0.43174109409882044,0.4083915158097997
6DNB_A,4,0.26980051059276616,0.24655576898895865
6DNB_A,5,0.3280740137837252,0.3614351117918902
6DNB_A,6,0.413036833054835,0.2651426001888239
6DNB_A,7,0.4326239920717423,0.21329974064165066
6HGM_A,0,0.15598306050510455,0.1126602672470614
6HGM_A,1,0.24725748337229725,0.19713692669869423
6HGM_A,2,0.21004923703703832,0.2179677330633155
6HGM_A,3,-0.003033474663406476,0.09089457559289642
6HGM_A,4,0.13924462664406523,0.23941216360414874
6HGM_A,5,0.2993088593911223,0.1310750535827516
6HGM_A,6,0.2865667739280074,0.1471512204584859
6HGM_A,7,0.2348603578366303,0.15648432501231796
6LN0_A,0,0.17978237604655697,0.7136855791146298
6LN0_A,1,0.159811847857536,0.019455271024820055
6LN0_A,2,0.4877698539601934,0.8137099185164981
6LN0_A,3,0.38735861922441767,0.5612223913504636
6LN0_A,4,-0.1344450058163713,0.1437759782443699
6LN0_A,5,0.1033624779073493,-0.002436267813515555
6LN0_A,6,0.34731361953014755,0.6712659838373103
6LN0_A,7,0.22775951528042604,0.6533500784897216
6NQK_F,0,0.012379562643122656,-0.0757849730857975
6NQK_F,1,0.40078920065362034,0.8558990545216995
6NQK_F,2,0.4350000860494955,0.2537621704351277
6NQK_F,3,0.5592922309438515,0.9366169334464066
6NQK_F,4,0.35195512012022834,0.6562455665277109
6NQK_F,5,0.4541852176414808,0.4081100428234951
6NQK_F,6,0.11909731257909967,0.6770865483948011
6NQK_F,7,0.3196679223320928,0.518680484596291
6T06_B,0,0.1984328512358188,-0.05416638303351466
6T06_B,1,0.1089280401564526,-0.07954904088327948
6T06_B,2,0.2191765832661844,-0.0672394210707529
6T06_B,3,-0.11515226713343235,0.0437208610197986
